teams1,teams2,score1,score2,date,time,location,game_status,1_1_inning,1_2_inning,1_3_inning,1_4_inning,1_5_inning,1_6_inning,1_7_inning,1_8_inning,1_9_inning,1_10_inning,1_11_inning,1_12_inning,1_R_inning,1_H_inning,1_E_inning,1_B_inning,2_1_inning,2_2_inning,2_3_inning,2_4_inning,2_5_inning,2_6_inning,2_7_inning,2_8_inning,2_9_inning,2_10_inning,2_11_inning,2_12_inning,2_R_inning,2_H_inning,2_E_inning,2_B_inning
삼성,KIA,7,3,04.07,14:00,광주,경기종료,0,1,2,0,0,0,1,1,2,-,-,-,7,8,0,4,1,0,0,2,0,0,0,0,0,-,-,-,3,7,3,5
한화,두산,3,5,04.09,18:30,잠실,경기종료,0,0,3,0,0,0,0,0,0,-,-,-,3,9,0,6,0,0,0,1,0,1,3,0,-,-,-,-,5,8,1,6
KT,NC,6,1,04.09,18:30,창원,경기종료,0,0,0,0,4,0,0,2,0,-,-,-,6,7,0,3,0,1,0,0,0,0,0,0,0,-,-,-,1,7,1,5
LG,KIA,2,7,04.09,18:30,광주,경기종료,0,0,0,0,0,0,0,1,1,-,-,-,2,9,0,2,0,0,0,0,0,5,2,0,-,-,-,-,7,10,3,8
삼성,롯데,8,1,04.09,18:30,사직,경기종료,0,0,0,0,0,5,0,0,3,-,-,-,8,15,1,4,1,0,0,0,0,0,0,0,0,-,-,-,1,6,0,2
키움,SSG,5,8,04.09,18:30,문학,경기종료,2,0,0,0,3,0,0,0,0,-,-,-,5,8,2,2,2,0,0,2,0,0,1,3,-,-,-,-,8,11,0,5
한화,두산,4,7,04.10,14:00,잠실,경기종료,2,0,0,2,0,0,0,0,0,-,-,-,4,4,0,7,5,0,0,1,0,0,0,1,-,-,-,-,7,10,0,6
KT,NC,2,3,04.10,14:00,창원,경기종료,0,0,0,0,0,1,0,0,1,-,-,-,2,7,0,5,0,0,1,1,0,0,1,0,-,-,-,-,3,8,0,2
LG,KIA,4,5,04.10,14:00,광주,경기종료,0,3,0,0,1,0,0,0,0,-,-,-,4,11,1,5,0,0,1,1,0,0,1,2,-,-,-,-,5,10,2,2
삼성,롯데,10,7,04.10,14:00,사직,경기종료,0,0,0,1,0,2,1,3,0,3,-,-,10,18,0,7,2,1,1,0,0,3,0,0,0,3,-,-,7,12,0,4
키움,SSG,4,8,04.10,14:00,문학,경기종료,0,0,0,0,2,0,2,0,0,-,-,-,4,7,1,3,0,3,0,0,0,2,3,0,-,-,-,-,8,12,0,5
한화,두산,3,0,04.11,18:30,잠실,경기종료,1,0,0,1,0,0,0,1,0,-,-,-,3,6,1,3,0,0,0,0,0,0,0,0,0,-,-,-,0,1,1,3
